CalculatedMoleFraction,InitialMoleFraction,RelativeDifferencePercent,Pressure,Temperature
4.09419536689344e-114,0.00119,2.90655401943591e+112,300,308
2.26126677402781e-112,0.0012,5.30675997092788e+110,300,308
1.18695819830118e-110,0.00121,1.01941247950585e+109,300,308
5.92720487889372e-109,0.00122,2.05830576962898e+107,300,308
2.81848045352499e-107,0.00123,4.36405368169815e+105,300,308
1.27743810849964e-105,0.00124,9.70692820066555e+103,300,308
5.52361565376688e-104,0.00125,2.26301045972949e+102,300,308
2.28063026790212e-102,0.00126,5.52478855399491e+100,300,308
8.99940250906432e-101,0.00127,1.41120479800836e+99,300,308
3.39680043629876e-99,0.00128,3.76825198890613e+97,300,308
1.22739717328428e-97,0.00129,1.05100453877387e+96,300,308
4.24924068236085e-96,0.0013,3.05937012557671e+94,300,308
1.41056319913259e-94,0.00131,9.28707058858173e+92,300,308
4.49328935293056e-93,0.00132,2.93771421406255e+91,300,308
1.37453064742437e-91,0.00133,9.67603015976537e+89,300,308
4.04094053483595e-90,0.00134,3.31605968572958e+88,300,308
1.14251180719639e-88,0.00135,1.18160704466833e+87,300,308
3.10880869409217e-87,0.00136,4.37466609825326e+85,300,308
8.14666903750813e-86,0.00137,1.68166890503637e+84,300,308
2.0573571495613e-84,0.00138,6.70763459953593e+82,300,308
5.01033618609942e-83,0.00139,2.77426493626593e+81,300,308
1.17741364739821e-81,0.0014,1.18904685969426e+80,300,308
2.67157499674276e-80,0.00141,5.27778558235909e+78,300,308
5.85661493959269e-79,0.00142,2.42460877938265e+77,300,308
1.24115445940879e-77,0.00143,1.15215313385021e+76,300,308
2.54423873057268e-76,0.00144,5.65984623493202e+74,300,308
5.04765963791854e-75,0.00145,2.87261840934648e+73,300,308
9.69759875038739e-74,0.00146,1.50552733473498e+72,300,308
1.8051640758593e-72,0.00147,8.14330408885544e+70,300,308
3.25745641351372e-71,0.00148,4.5434222660974e+69,300,308
5.70132816232694e-70,0.00149,2.61342613085417e+68,300,308
9.68344814208642e-69,0.0015,1.54903499041903e+67,300,308
1.59682318441812e-67,0.00151,9.45627552715078e+65,300,308
2.55780818960139e-66,0.00152,5.94258790076388e+64,300,308
3.98171733150518e-65,0.00153,3.84256307672555e+63,300,308
6.02652125124708e-64,0.00154,2.55537139221292e+62,300,308
8.87268253789124e-63,0.00155,1.74693503726821e+61,300,308
1.27124460149503e-61,0.00156,1.22714385427115e+60,300,308
1.77328711886874e-60,0.00157,8.85361419081179e+58,300,308
2.40929833097537e-59,0.00158,6.55792593090935e+57,300,308
3.18966889596865e-58,0.00159,4.98484341747685e+56,300,308
4.11644434650309e-57,0.0016,3.88684958502887e+55,300,308
5.18077733591415e-56,0.00161,3.1076417603188e+54,300,308
6.36113251606414e-55,0.00162,2.54671632120368e+53,300,308
7.62268686555792e-54,0.00163,2.13835361303497e+52,300,308
8.91825101500241e-53,0.00164,1.83892558893125e+51,300,308
1.01908355076902e-51,0.00165,1.61910178881298e+50,300,308
1.13777302071146e-50,0.00166,1.45899047506153e+49,300,308
1.24157021794595e-49,0.00167,1.34507092378782e+48,300,308
1.32467009887276e-48,0.00168,1.2682402972858e+47,300,308
1.38233379858932e-47,0.00169,1.22257012143135e+46,300,308
1.41134072820356e-46,0.0017,1.20452840765381e+45,300,308
1.41028442291539e-45,0.00171,1.21252136960077e+44,300,308
1.37967488392398e-44,0.00172,1.24667051639593e+43,300,308
1.32183916071214e-43,0.00173,1.30878252923598e+42,300,308
1.24064119580671e-42,0.00174,1.40250058266732e+41,300,308
1.14106615951028e-41,0.00175,1.53365340424351e+40,300,308
1.0287296811705e-40,0.00176,1.71084788571227e+39,300,308
9.09376700010606e-40,0.00177,1.94638811394591e+38,300,308
7.88428563548747e-39,0.00178,2.25765539491384e+37,300,308
6.70622860393192e-38,0.00179,2.66916042639899e+36,300,308
5.59771813638522e-37,0.0018,3.21559599133794e+35,300,308
4.5864567720432e-36,0.00181,3.94640152510076e+34,300,308
3.68970735173039e-35,0.00182,4.9326405226866e+33,300,308
2.91519398824184e-34,0.00183,6.27745531645967e+32,300,308
2.26263447301031e-33,0.00184,8.13211334817142e+31,300,308
1.72560412078412e-32,0.00185,1.07208830676607e+31,300,308
1.29346353675572e-31,0.00186,1.4379995625275e+30,300,308
9.5314269798113e-31,0.00187,1.9619307832509e+29,300,308
6.90645077308441e-30,0.00188,2.7220928111537e+28,300,308
4.92204808773279e-29,0.00189,3.83986496334817e+27,300,308
3.45087768701583e-28,0.0019,5.50584567847444e+26,300,308
2.38069149685376e-27,0.00191,8.02287907746213e+25,300,308
1.61644832464726e-26,0.00192,1.18778928514092e+25,300,308
1.08043658477578e-25,0.00193,1.78631492786829e+24,300,308
7.11061916148497e-25,0.00194,2.7283137458804e+23,300,308
4.60867978076743e-24,0.00195,4.23114664667652e+22,300,308
2.94235672093814e-23,0.00196,6.66132690863899e+21,300,308
1.8507634956434e-22,0.00197,1.06442557605943e+21,300,308
1.14717306945517e-21,0.00198,1.72598194005754e+20,300,308
7.00831299907197e-21,0.00199,2.83948505191408e+19,300,308
4.2207265149267e-20,0.002,4.73852070947253e+18,300,308
2.50629004306702e-19,0.00201,8.01982198971795e+17,300,308
1.46766066278616e-18,0.00202,1.37633994779508e+17,300,308
8.47712592081109e-18,0.00203,2.39467953993275e+16,300,308
4.83033635448473e-17,0.00204,4.2233083791482e+15,300,308
2.7157367080638e-16,0.00205,754859627559879,300,308
1.50679443707258e-15,0.00206,136714069903304,300,308
8.25181833230826e-15,0.00207,25085380174780.4,300,308
4.46114797859435e-14,0.00208,4662477034915.06,300,308
2.38130888265488e-13,0.00209,877668585955.033,300,308
1.25523949707178e-12,0.0021,167298750847.439,300,308
6.53503165479924e-12,0.00211,32287525216.7358,300,308
3.36082865406654e-11,0.00212,6307968018.02602,300,308
1.70761065260948e-10,0.00213,1247356840.96605,300,308
8.57314745704959e-10,0.00214,249616509.386592,300,308
4.25367953062231e-09,0.00215,50544375.3071338,300,308
2.08605289059386e-08,0.00216,10354383.3869724,300,308
1.01130919389151e-07,0.00217,2145633.48399005,300,308
4.84732014225024e-07,0.00218,449633.035166931,300,308
2.29741047054603e-06,0.00219,95224.7157213266,300,308
1.07684626728879e-05,0.0022,20330.0285642351,300,308
4.99235165724105e-05,0.00221,4326.77149313901,300,308
0.000228955031353553,0.00222,869.62271887001,300,308
0.00103883142585069,0.00223,114.664279931065,300,308
0.00466385723940545,0.00224,51.97108562685,300,308
0.0207207392886123,0.00225,89.1413140783227,300,308
0.0911126688620697,0.00226,97.5195546039582,300,308
0.396568917369261,0.00227,99.427590035281,300,308
1.70874397165214,0.00228,99.8665686587444,300,308
7.28962140904056,0.00229,99.9685854741762,300,308
30.7930744295254,0.0023,99.992530788034,300,308
128.816324115621,0.00231,99.9982067490158,300,308
533.712577941779,0.00232,99.9995653091016,300,308
2190.33643991156,0.00233,99.9998936236481,300,308
8904.88904760277,0.00234,99.9999737223003,300,308
35868.0042998616,0.00235,99.9999934481997,300,308
143150.526510407,0.00236,99.9999983513857,300,308
566149.401292703,0.00237,99.9999995813826,300,308
2219045.33253039,0.00238,99.9999998927467,300,308
8620695.49577082,0.00239,99.999999972276,300,308
33197301.3845795,0.0024,99.9999999927705,300,308
126733170.719205,0.00241,99.9999999980984,300,308
479674832.161289,0.00242,99.9999999994955,300,308
1800172525.69162,0.00243,99.999999999865,300,308
6699351099.94415,0.00244,99.9999999999636,300,308
24725382269.2347,0.00245,99.9999999999901,300,308
90507512027.2848,0.00246,99.9999999999973,300,308
328622028161.232,0.00247,99.9999999999993,300,308
1183634687789.81,0.00248,99.9999999999998,300,308
4229467053253.93,0.00249,99.9999999999999,300,308
14994707459182.7,0.0025,100,300,308
52748685782507.1,0.00251,100,300,308
184137807982051,0.00252,100,300,308
637922384307439,0.00253,100,300,308
2.19341912329553e+15,0.00254,100,300,308
7.4858166977305e+15,0.00255,100,300,308
2.53603305877414e+16,0.00256,100,300,308
8.52908991307507e+16,0.00257,100,300,308
2.84784249032252e+17,0.00258,100,300,308
9.44121084717504e+17,0.00259,100,300,308
3.10792406803872e+18,0.0026,100,300,308
1.01595890465972e+19,0.00261,100,300,308
3.29819666918488e+19,0.00262,100,300,308
1.06341508958081e+20,0.00263,100,300,308
3.40553793594598e+20,0.00264,100,300,308
2.54036206482626e+83,0.00265,100,300,308
8.23159166182843e+84,0.00266,100,300,308
2.61901249420314e+86,0.00267,100,300,308
8.1830938520886e+87,0.00268,100,300,308
2.51121402151377e+89,0.00269,100,300,308
7.56999432127121e+90,0.0027,100,300,308
2.24187704119036e+92,0.00271,100,300,308
6.52364926825719e+93,0.00272,100,300,308
1.86547556473099e+95,0.00273,100,300,308
5.24282842462771e+96,0.00274,100,300,308
1.44835570206073e+98,0.00275,100,300,308
3.93345456856091e+99,0.00276,100,300,308
1.05031023815995e+101,0.00277,100,300,308
2.75778427081173e+102,0.00278,100,300,308
7.12125163060836e+103,0.00279,100,300,308
1.80866983140008e+105,0.0028,100,300,308
4.51879050443326e+106,0.00281,100,300,308
1.11070202837283e+108,0.00282,100,300,308
2.68619374734265e+109,0.00283,100,300,308
6.39282711760199e+110,0.00284,100,300,308
1.49732258213161e+112,0.00285,100,300,308
3.45187453041952e+113,0.00286,100,300,308
7.83360669963845e+114,0.00287,100,300,308
1.75018955324227e+116,0.00288,100,300,308
3.85011686754973e+117,0.00289,100,300,308
8.34020441396727e+118,0.0029,100,300,308
1.77926819330214e+120,0.00291,100,300,308
3.73865665048421e+121,0.00292,100,300,308
7.73831209750982e+122,0.00293,100,300,308
1.57790182581682e+124,0.00294,100,300,308
3.17002675176524e+125,0.00295,100,300,308
6.27539074389704e+126,0.00296,100,300,308
1.22421799581051e+128,0.00297,100,300,308
2.35375737640323e+129,0.00298,100,300,308
4.46060691726177e+130,0.00299,100,300,308
8.33296366812289e+131,0.003,100,300,308
1.53469411732841e+133,0.00301,100,300,308
2.78678900582669e+134,0.00302,100,300,308
4.98986703260134e+135,0.00303,100,300,308
8.81086973676031e+136,0.00304,100,300,308
1.53438876461199e+138,0.00305,100,300,308
2.63560524722061e+139,0.00306,100,300,308
4.46575356646259e+140,0.00307,100,300,308
7.46481942028214e+141,0.00308,100,300,308
1.23110293138165e+143,0.00309,100,300,308
2.00336415295176e+144,0.0031,100,300,308
3.21703288518233e+145,0.00311,100,300,308
5.09824143006182e+146,0.00312,100,300,308
7.97431623121861e+147,0.00313,100,300,308
1.23115624661008e+149,0.00314,100,300,308
1.87636663958237e+150,0.00315,100,300,308
2.82322077855897e+151,0.00316,100,300,308
4.19403490155791e+152,0.00317,100,300,308
6.15200112884e+153,0.00318,100,300,308
8.91116960911508e+154,0.00319,100,300,308
1.27474519810611e+156,0.0032,100,300,308
1.80101999595383e+157,0.00321,100,300,308
2.51336715930739e+158,0.00322,100,300,308
3.46474312948388e+159,0.00323,100,300,308
4.71844597186038e+160,0.00324,100,300,308
6.34855061881927e+161,0.00325,100,300,308
8.43980374677827e+162,0.00326,100,300,308
1.10868064800748e+164,0.00327,100,300,308
1.43923209484803e+165,0.00328,100,300,308
1.84645633663053e+166,0.00329,100,300,308
2.34133943343051e+167,0.0033,100,300,308
