CalculatedMoleFraction,InitialMoleFraction,RelativeDifferencePercent,Pressure,Temperature
0.168299308687517,0.1754,4.21908525225532,2,308
0.170662076742222,0.1755,2.83479689813297,2,308
0.173059511092126,0.1756,1.46798571880942,2,308
0.175492142648863,0.1757,0.118442539933409,2,308
0.177960510801658,0.1758,1.21403944724878,2,308
0.18046516355833,0.1759,2.52966471108115,2,308
0.183006657688554,0.176,3.82863540433467,2,308
0.10988127665936,0.1149,4.56740537898729,3,308
0.111506341038235,0.115,3.13314824003373,3,308
0.113156146810702,0.1151,1.71785028395305,3,308
0.114831081765764,0.1152,0.321270363880085,3,308
0.11653153994914,0.1153,1.05682972153073,3,308
0.118257921767327,0.1154,2.41668526270067,3,308
0.120010634093183,0.1155,3.75852867311815,3,308
0.0702982314859655,0.0729,3.70104405052347,4,308
0.0714798736966581,0.073,2.12664939755335,4,308
0.0726815166253766,0.0731,0.575776888064081,4,308
0.0739035021605223,0.0732,0.95191992254204,4,308
0.0751461781065014,0.0733,2.45678243793701,4,308
0.0764098982875904,0.0734,3.93914709356343,4,308
0.0270228420922171,0.0279,3.24598687580513,6,308
0.0279049784351171,0.028,0.340518324011035,6,308
0.0288144403154945,0.0281,2.47945234289477,6,308
0.0184000234430615,0.0188,2.17378286596357,7,308
0.0193097525826922,0.0189,2.12199809882315,7,308
0.0132128711347651,0.0137,3.68677526834572,8,308
0.014189230707941,0.0138,2.74314172454155,8,308
0.0111284555015956,0.0108,2.95149224929289,9,308
0.0089703499388376,0.0089,0.784249659348056,10,308
0.0038751397802179,0.004,3.22208299219075,21,308
0.0038080874408333,0.0037,2.83836551845766,24,308
0.0027609052765789,0.0028,1.41601103640561,50,308
